"","winter AA vehicle","winter AA biomass","winter AA coal","winter AA cooking","winter AA dust","winter AA biogenic SOA"
"model terms","NO3_neg + Al + Ti + Ni + Zn + NO2 + benzene + C33","`total EC` + K_pos + mannosan + levoglucosan","`total EC` + Cl_neg + Cd + Sb + C27 + C32 + C34","CO. + `palmitic acid` + `stearic acid` + cholesterol","Ca2_pos + Al + Ti + Mn + Fe + Zn","NO3_neg + `methyl vinyl ketone or methacrolein` + `methyl ethyl ketone` + `2-methylglyceric acid` + `trans-2-methyl-1,3,4-trihydroxy-1-butene` + `cis-pinonic acid` + `3-methyl-1,2,3-butanetricarboxylic acid` + `3-acetylhexanedioic acid`"
"deviance residuals min","-48.3835641343727","-189.881656740305","-116.173096328738","-203.816929665007","-106.362723663791","-86.5813278223067"
"deviance residuals 1Q","-11.8479740945753","-63.3915529744043","-21.0171928104792","-65.6772032660082","-30.1657664336955","-16.7414724342732"
"deviance residuals median","-0.61010526034363","-12.2635506655374","-0.0884159693043785","-13.2677067393449","1.27963739256273","2.96226449478277"
"deviance residuals mean","-2.03535217354002e-13","5.95956975524997e-14","-1.48530381542443e-13","-4.3999750079963e-14","1.63193383537835e-13","-2.75183102111727e-15"
"deviance residuals 3Q","11.1220744352658","37.4447214988752","23.6607896309044","40.5884371685478","23.4089390099191","15.0859084633459"
"deviance residuals max","81.4716271200773","272.01683462759","118.561418651946","227.726172167581","186.400342513082","83.2315819373675"
"null deviance","621093.308215104","621093.308215104","621093.308215104","621093.308215104","621093.308215104","621093.308215104"
"deg freedom null dev","30","30","30","30","30","30"
"residual deviance","18948.3456718508","351772.688111712","82696.5393410504","305252.825767849","88852.6426593134","43990.1411218228"
"deg freedom resid dev","22","26","23","26","24","22"
"Gaussian dispersion parameter","861.288439629582","13529.7187735274","3595.50171048045","11740.4932987634","3702.19344413806","1999.55186917377"
"AIC value","306.8542","389.4135","350.5315","385.0164","350.7574","332.9639"
"Fisher scoring iterations","2","2","2","2","2","2"
"R2","0.969491950048046","0.433623445207233","0.866853275913238","0.508523402634809","0.856941555344304","0.929173055739014"
"Intercept coefficient","440.761517696254","-7.2635326155417","-2.74035227496569","256.784587532393","-28.7417870003192","412.900173010061"
"Coefficient 1","-1229.99646976215","5644.62977946474","4792.72430117086","-0.0446954839413028","13723.7158864398","-2208.17231840444"
"Coefficient 2","13243.0853869859","8724.86418517561","2691.0048828732","41399.9843459988","14295.2326604477","-58.4413308345747"
"Coefficient 3","-113195.956553502","-316688.281598439","448610.913953433","-35057.9593142196","-153019.92991381","353.270460807296"
"Coefficient 4","611555.276636106","33741.6382898955","-1426466.97688451","268034.377821214","568193.030265561","1657592.24297609"
"Coefficient 5","42036.1788465258","","-381555.587486245","","-19646.4808068321","9622337.86965453"
"Coefficient 6","-3.94674825847445","","3797039.96057174","","29894.7890630973","750366.105883721"
"Coefficient 7","-31.5169768344257","","-2033944.36425245","","","2063471.39346794"
"Coefficient 8","-293157.014261746","","","","","-72071718.2139118"
"Coefficient 9","","","","","",""
"Coefficient 10","","","","","",""
"Intercept std error","45.4884667314248","91.094477851047","42.444489617278","59.761446661902","41.3929351116415","54.1585418366685"
"std error 1","229.293276837641","1877.90859080722","1492.47132645736","0.0306771136228167","2758.41083830249","289.192167112669"
"std error 2","1597.76628706349","4975.44454097835","814.76886749758","14801.5771776536","2691.67969696348","19.1604317681216"
"std error 3","11652.2097182042","178483.242021615","117055.082734015","22937.0518136135","28766.1842202265","111.192372285704"
"std error 4","89229.3800021637","18852.2596829691","360557.635873574","775263.261495638","162598.689601499","777430.955591612"
