row,Id,Name,Specie,Relative Mass,Uncertainty,Analytical Method,Uncertainty Method,Specie Id,Particle Size,Original Name,N Samples,Reference,Country,Place,Test Year,Profile Type,Sampling Method,Latitude,Longitude,Cas,Symbol
6455,220,2-stroke Engine Motorcycles,Copper,"0,0002635",2.07E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,380,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-50-8,Cu
6456,220,2-stroke Engine Motorcycles,Chromium,"4,88E-05",1.24E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,347,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-47-3,Cr
6457,220,2-stroke Engine Motorcycles,Calcium,"0,00138","0,0001014",ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,329,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-70-2,Ca
6458,220,2-stroke Engine Motorcycles,Aluminum,"0,0001498",1.18E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,292,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7429-90-5,Al
6459,220,2-stroke Engine Motorcycles,Arsenic,"4,88E-05",1.24E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,298,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-38-2,As
6460,220,2-stroke Engine Motorcycles,Cadmium,3.55E-02,1.54E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,328,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-43-9,Cd
6461,220,2-stroke Engine Motorcycles,Barium,"0,0002459",5.74E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,300,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-39-3,Ba
6462,220,2-stroke Engine Motorcycles,Vanadium,9.51E-03,9.53E-03,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,767,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-62-2,V
6463,220,2-stroke Engine Motorcycles,Titanium,2.27E-02,2.82E-03,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,715,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-32-6,Ti
6464,220,2-stroke Engine Motorcycles,Sulfur,"0,003506","0,0002551",ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,700,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7704-34-9,S
6465,220,2-stroke Engine Motorcycles,Sulfate,"0,0003531",2.68E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,699,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,14808-79-8,SO4=
6466,220,2-stroke Engine Motorcycles,Zinc,"0,0003531",2.68E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,778,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-66-6,Zn
6467,220,2-stroke Engine Motorcycles,Ammonium,"0,0001498",1.18E-02,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,784,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,14798-03-9,NH4+
6468,220,2-stroke Engine Motorcycles,Sodium ion,"0,00055","2,75E-05"," IC, Ion chromatography",analytical uncertainty,785,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,17341-25-2,Na+
6469,220,2-stroke Engine Motorcycles,Nickel,3.61E-02,"6,28E-06",ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,612,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7440-02-0,Ni
6470,220,2-stroke Engine Motorcycles,Manganese,3.73E-02,9.52E-03,ED-XRF energy dispersive X-ray fluorescence,analytical uncertainty,526,PM10,2STROKE,1,"Argyropoulos et al. (2011),4th Environ Conf of Macedonia; ACEPT-AIR final report; Argyropoulos et al. (2012) 10.1016/j.scitotenv.2012.05.076",Greece,Thessaloniki,2007,O,Direct Filter Sampling,40.6,22.9,7439-96-5,Mn
